ath-miRf10783-npr	NONATHT000406
ath-miRf10783-npr	NONATHT000411
ath-miRf10783-npr	NONATHT000453
ath-miRf10783-npr	NONATHT002613
ath-miRf10783-npr	NONATHT003372
ath-miRf10783-npr	NONATHT003395
ath-miRf10783-npr	NONATHT003402
ath-miRf10789-npr	NONATHT000959
ath-miRf10794-npr	NONATHT000338
ath-miRf10794-npr	NONATHT002319
ath-miRf10796-npr	NONATHT002649
ath-miRf10799-npr	NONATHT001965
ath-miRf10803-npr	NONATHT001182
ath-miRf10803-npr	NONATHT002019
ath-miRf10803-npr	NONATHT002714
ath-miRf10803-npr	NONATHT003333
ath-miRf10803-npr	NONATHT003462
ath-miRf10803-npr	NONATHT003488
ath-miRf10807-npr	NONATHT003470
ath-miRf10823-npr	NONATHT000374
ath-miRf10823-npr	NONATHT001157
ath-miRf10823-npr	NONATHT001210
ath-miRf10823-npr	NONATHT002149
ath-miRf10823-npr	NONATHT002247
ath-miRf10823-npr	NONATHT002540
ath-miRf10823-npr	NONATHT002616
ath-miRf10823-npr	NONATHT003399
ath-miRf10823-npr	NONATHT003404
ath-miRf10823-npr	NONATHT003422
ath-miRf10823-npr	NONATHT003424
ath-miRf10823-npr	NONATHT003472
ath-miRf10823-npr	NONATHT003484
ath-miRf10824-npr	NONATHT000374
ath-miRf10824-npr	NONATHT001228
ath-miRf10824-npr	NONATHT001300
ath-miRf10824-npr	NONATHT002532
ath-miRf10824-npr	NONATHT002540
ath-miRf10824-npr	NONATHT002613
ath-miRf10824-npr	NONATHT002629
ath-miRf10824-npr	NONATHT002661
ath-miRf10824-npr	NONATHT002689
ath-miRf10824-npr	NONATHT003316
ath-miRf10824-npr	NONATHT003335
ath-miRf10824-npr	NONATHT003399
ath-miRf10824-npr	NONATHT003472
ath-miRf10824-npr	NONATHT003484
ath-miRf10834-npr	NONATHT001355
ath-miRf10834-npr	NONATHT002711
ath-miRf10840-npr	NONATHT000426
ath-miRf10840-npr	NONATHT003316
ath-miRf10840-npr	NONATHT003399
ath-miRf10840-npr	NONATHT003431
ath-miRf10840-npr	NONATHT003472
ath-miRf10845-npr	NONATHT001768
ath-miRf10845-npr	NONATHT001994
ath-miRf10847-npr	NONATHT002705
ath-miRf10850-npr	NONATHT001013
ath-miRf10855-npr	NONATHT002768
ath-miRf10871-npr	NONATHT002656
ath-miRf10871-npr	NONATHT002744
ath-miRf10871-npr	NONATHT003484
